Id	Population	RawCoord1	RawCoord2	RawCoord3	RawCoord4	RawCoord5	RawCoord6	RawCoord7	RawCoord8	RawCoord9	RawCoord10	RawCoord11	RawCoord12	RawCoord13	RawCoord14	RawCoord15	RawCoord16	RawCoord17	RawCoord18	RawCoord19	RawCoord20	RawCoord21	RawCoord22	RawCoord23	RawCoord24
dp_31	dp	6.075	14.251	5.24	17.778	6.017	19.563	7.212	21.492	9.069	23.694	11.459	26.098	16.396	27.351	13.33	15.345	18.195	15.288	16.698	18.152	19.16	18.699	23.435	18.786
dp_32	dp	3.271	14.1	3.357	18.343	4.8	20.3	6.5	21.914	8.971	23.471	12.714	24.785	17.357	25.028	11.2	13.728	15.6	12.614	14.485	16.128	17.343	16.214	21.4	15.3
dp_34	dp	4.884	2.33	3.623	5.797	4.377	7.783	5.478	9.507	6.681	11.609	9.0	13.841	13.493	15.333	12.551	3.855	15.913	4.058	14.783	6.522	16.783	7.087	20.101	7.275
dp_35	dp	2.911	19.214	3.028	22.911	4.192	24.556	5.706	26.099	7.627	27.918	10.932	29.505	15.56	29.738	10.83	18.967	14.702	18.137	13.712	21.121	16.099	21.281	19.854	20.626
dp_127	dp	5.044	15.66	4.575	19.516	5.117	21.525	6.173	23.666	7.801	25.821	10.528	28.416	15.352	30.205	13.226	17.449	17.39	17.61	15.528	20.674	18.006	21.584	22.023	21.848
dp_128	dp	3.818	15.507	2.129	18.238	1.997	20.162	1.968	22.438	2.394	25.198	3.642	27.959	6.725	31.292	10.264	20.088	14.332	22.247	10.808	23.73	12.364	25.242	15.653	27.254
dp_402	dp	4.112	14.662	4.321	18.312	5.452	20.263	6.988	22.097	8.791	23.87	12.367	25.568	17.492	26.045	11.95	14.557	16.435	13.619	14.885	17.254	17.507	17.314	21.143	16.747
dp_403	dp	3.092	12.278	2.544	15.888	3.476	17.825	5.207	19.601	7.337	21.657	10.192	23.743	15.148	24.334	10.947	12.574	15.148	11.893	13.609	15.207	16.228	15.429	19.941	15.089
dp_408	dp	5.168	9.804	2.599	13.229	2.628	15.207	2.894	17.717	3.573	20.434	5.611	23.269	9.597	26.384	11.93	14.277	15.119	15.621	12.314	17.703	14.528	19.194	18.234	20.818
dp_413	dp	2.895	17.339	3.015	21.198	4.041	23.279	5.579	24.938	7.569	26.777	11.368	28.918	16.344	29.31	11.82	17.52	15.831	16.615	14.655	19.992	17.459	20.173	20.806	19.706
dp_414	dp	3.372	19.018	4.001	23.289	5.74	25.013	7.134	27.141	9.951	28.505	13.503	29.749	19.318	28.999	11.839	17.624	15.556	16.066	14.867	20.097	17.819	19.588	21.251	18.314
dp_415	dp	4.065	10.657	2.78	13.99	3.184	16.067	4.14	18.324	5.216	20.581	7.503	23.227	11.419	25.528	12.077	13.467	15.2	14.064	13.063	16.546	15.365	17.801	19.027	18.788
dp_417	dp	4.096	15.63	3.508	19.184	4.156	21.066	5.662	22.918	7.318	25.162	10.465	27.285	15.389	28.083	11.926	16.368	15.75	15.862	14.38	19.244	16.759	19.65	20.494	19.364
dp_418	dp	6.201	13.124	4.375	17.057	4.846	19.193	5.892	21.24	7.571	23.803	10.856	26.469	16.055	28.001	13.964	15.643	18.353	15.982	16.158	18.913	18.808	19.664	22.036	20.003
dp_419	dp	4.798	10.833	3.515	14.439	4.043	16.702	4.617	18.784	5.854	21.469	7.861	24.065	12.281	26.328	12.447	13.971	16.747	14.74	14.695	17.441	16.732	18.527	20.489	19.448
dp_420	dp	3.669	13.048	3.272	17.128	4.212	18.86	5.651	20.519	8.073	22.853	10.48	24.452	15.367	24.981	11.522	13.503	15.984	12.945	14.12	16.101	16.615	16.292	20.754	15.925
dp_421	dp	3.556	14.181	2.973	17.824	3.862	19.69	5.188	21.482	6.996	23.523	9.736	25.592	14.064	26.248	11.237	15.172	15.041	14.793	13.292	17.999	15.507	18.407	19.457	18.291
dp_423	dp	4.697	12.662	4.099	16.28	4.945	18.25	6.492	20.205	8.257	22.422	11.291	24.668	16.149	25.704	12.473	13.625	16.966	13.275	15.42	16.412	17.783	16.951	21.78	16.791
dp_424	dp	3.486	17.221	3.888	21.154	5.199	22.525	7.21	24.089	9.117	25.504	12.931	26.442	17.728	25.861	10.89	15.761	14.614	14.212	14.271	17.504	16.551	17.221	20.037	15.791
dp_425	dp	5.326	10.99	3.282	14.331	3.52	16.648	4.233	19.039	5.242	21.341	7.916	24.519	12.401	26.613	12.995	14.584	16.262	15.311	13.886	17.91	15.905	18.994	19.41	19.974
dp_427	dp	5.49	9.521	3.303	12.408	3.273	14.595	3.675	16.767	4.597	19.564	6.129	22.301	9.78	24.964	12.437	13.523	15.934	14.699	13.181	16.915	14.907	18.076	19.043	19.623
dp_33	dp	4.728	14.781	3.4	18.531	4.144	20.807	5.195	22.588	6.829	24.659	9.776	26.936	14.431	28.103	11.586	16.59	15.481	16.474	13.672	19.377	15.832	19.917	19.698	19.976
dp_401	dp	8.921	9.956	5.423	12.041	4.665	13.804	4.096	15.758	3.848	18.644	4.227	22.361	7.42	26.632	13.702	16.283	16.122	18.44	12.959	19.431	14.417	21.749	17.041	24.373
gl_16	gl	4.626	11.277	2.365	15.283	2.734	17.352	3.385	19.805	4.227	22.466	6.267	25.865	10.376	29.102	12.149	15.534	16.273	16.805	13.258	19.288	15.564	20.692	19.643	22.156
gl_17	gl	5.161	11.448	2.106	14.192	1.794	16.327	1.869	18.878	2.284	21.577	3.47	25.284	6.792	28.992	11.819	16.861	15.645	18.878	12.294	20.702	14.489	22.615	17.707	24.602
gl_18	gl	6.169	9.099	3.754	12.279	3.46	14.517	3.754	16.902	4.343	19.699	5.698	22.982	9.467	26.28	12.794	13.795	16.711	15.65	13.413	17.623	15.415	19.272	19.184	21.363
gl_19	gl	5.096	11.654	3.028	15.79	3.368	18.346	4.343	20.694	5.672	23.486	8.242	26.558	13.013	29.365	13.471	15.096	17.637	15.79	14.446	18.759	17.4	20.059	21.3	20.827
gl_20	gl	4.865	11.465	2.818	14.802	2.818	17.012	3.619	20.038	4.761	22.989	7.03	26.401	11.895	29.204	12.785	15.395	16.76	16.671	14.135	19.178	16.79	20.676	20.883	22.174
gl_53	gl	2.629	18.653	2.26	22.508	2.969	24.605	4.386	26.466	6.277	28.651	9.127	31.221	14.281	32.993	10.855	19.687	15.995	19.569	13.676	22.833	16.127	23.468	20.898	23.541
gl_55	gl	2.113	14.324	1.693	18.399	2.712	20.422	4.465	22.145	6.443	23.898	9.364	26.28	15.897	26.999	10.503	14.533	15.327	13.589	13.559	17.365	16.586	17.71	20.931	17.23
gl_82	gl	4.116	15.997	2.669	19.661	2.925	22.149	4.056	24.621	5.729	27.471	8.232	30.818	13.725	33.11	12.605	19.103	17.324	19.766	14.535	22.782	17.203	23.958	21.666	24.802
gl_83	gl	2.25	19.797	2.97	23.846	4.409	25.676	6.509	27.206	9.358	28.735	12.988	29.935	18.357	29.545	10.858	18.192	15.043	16.587	14.128	20.217	17.457	19.767	21.611	18.567
gl_107	gl	4.206	12.259	1.916	16.091	1.901	18.246	2.515	20.821	3.413	23.709	4.954	27.257	9.535	30.909	11.93	16.869	16.285	18.515	12.648	21.045	15.387	22.916	19.219	24.667
gl_108	gl	4.916	10.807	2.968	14.439	3.145	16.802	4.045	19.164	5.492	22.117	7.618	25.084	12.018	27.963	13.657	15.074	17.584	16.3	14.292	18.44	17.097	20.02	21.201	21.408
gl_109	gl	4.755	24.66	5.13	28.89	6.63	30.735	8.535	32.31	10.65	33.72	14.25	35.325	20.55	35.1	13.77	23.73	17.925	22.47	16.95	25.935	20.13	25.725	23.52	24.93
gl_129	gl	2.94	21.954	3.492	25.506	4.716	27.178	6.358	28.775	8.731	30.491	12.149	31.939	17.641	31.491	11.208	20.536	15.014	19.193	14.014	22.864	16.835	22.596	20.626	21.536
gl_130	gl	6.686	9.566	4.164	12.387	3.447	14.446	3.313	16.864	3.537	19.938	4.208	23.356	7.611	27.609	13.342	15.61	17.073	18.252	13.416	19.64	15.342	21.923	18.341	24.42
gl_131	gl	3.696	11.937	1.788	15.231	1.923	17.481	2.534	19.732	3.517	22.161	5.231	25.41	10.119	28.793	10.805	16.006	15.112	17.437	12.34	19.702	14.784	21.219	19.061	22.832
gl_132	gl	5.189	11.066	3.888	15.119	4.202	17.362	5.01	19.904	6.61	22.955	9.032	26.125	14.64	28.802	14.446	14.655	18.902	15.597	15.568	18.484	18.499	19.725	22.85	20.682
gl_135	gl	3.598	8.335	2.354	12.022	2.638	14.451	3.808	16.894	5.247	19.398	7.915	22.606	12.832	25.049	11.558	11.003	16.46	11.783	13.416	14.826	16.28	15.695	20.567	16.924
gl_146	gl	1.787	16.523	2.446	19.614	2.915	21.225	4.717	23.202	7.119	25.282	10.634	27.26	15.615	27.494	10.078	15.278	14.091	14.34	12.378	18.237	15.6	18.164	19.599	17.182
gl_147	gl	6.006	12.965	4.411	16.765	4.381	19.135	5.272	21.773	6.155	24.619	7.66	28.196	12.056	31.921	14.754	18.017	18.822	19.612	15.26	21.907	17.779	23.606	21.922	25.394
gl_148	gl	5.115	7.358	3.006	11.291	3.141	13.385	4.083	15.837	5.414	18.709	7.657	21.879	12.099	24.631	13.086	11.351	16.765	12.263	14.088	14.985	16.376	16.152	20.359	17.348
gl_149	gl	2.246	7.688	1.327	11.698	1.914	14.29	3.392	16.748	5.125	19.491	7.447	22.355	12.934	24.707	11.23	10.266	16.114	10.808	13.16	14.125	16.446	15.089	21.179	16.039
gl_150	gl	3.58	18.321	2.945	22.052	3.987	24.408	5.588	26.266	7.582	28.396	10.694	30.48	16.433	31.129	11.615	18.502	15.965	17.808	14.137	21.448	17.083	21.614	21.448	21.221
gl_304	gl	1.581	20.663	2.545	24.367	3.795	26.13	5.452	27.485	7.846	29.292	11.099	30.994	17.289	31.054	10.587	18.795	15.346	17.184	13.991	21.16	16.777	20.889	21.099	19.639
gl_406	gl	2.964	15.483	3.19	19.2	4.499	21.156	6.019	22.901	8.366	25.038	11.225	26.964	16.266	27.957	11.722	15.528	16.747	14.52	15.032	18.177	17.996	18.237	22.224	17.695
gl_407	gl	3.948	19.876	3.649	23.824	4.861	25.529	6.446	26.86	9.228	28.595	11.74	30.36	17.094	30.659	12.009	19.173	16.287	17.827	15.03	21.416	17.752	21.476	21.461	20.729
gl_428	gl	1.487	20.093	1.337	23.847	2.283	25.769	3.874	27.691	6.247	29.674	9.521	31.791	15.242	32.647	9.941	20.123	15.137	19.087	13.245	22.856	15.993	22.946	20.288	22.345
gl_430	gl	4.461	13.579	2.554	17.38	2.448	19.978	3.019	22.367	4.146	25.702	6.234	29.412	10.38	32.777	13.94	19.182	17.665	20.594	13.669	22.817	17.064	24.72	21.015	26.377
gl_432	gl	1.842	17.061	1.117	20.533	1.978	22.496	3.216	24.142	5.36	26.331	8.108	28.415	12.879	29.29	9.3	17.921	14.071	17.514	11.731	20.775	14.947	21.137	18.752	21.032
gl_439	gl	2.383	16.257	1.93	20.223	2.805	22.274	4.087	24.4	5.836	26.692	8.656	29.347	12.803	30.855	11.19	17.493	16.076	17.418	13.346	20.766	16.438	21.279	21.158	21.414
gl_440	gl	2.95	9.948	2.559	14.087	3.537	16.089	5.238	18.03	7.631	20.183	10.791	22.561	16.45	23.102	11.875	10.475	16.796	9.798	14.674	13.259	17.88	13.56	21.883	13.169
gl_441	gl	2.229	17.741	2.244	21.069	3.268	23.433	4.653	25.21	6.672	27.605	9.473	29.969	14.488	31.46	12.289	17.469	16.686	16.972	14.533	20.828	17.861	21.054	21.912	20.858
gl_443	gl	3.136	16.311	2.487	19.688	3.422	22.341	4.372	23.833	6.015	25.974	8.623	28.627	13.115	30.12	12.075	17.351	16.115	17.306	13.794	20.442	16.703	21.06	20.683	21.406
gl_487	gl	2.713	18.586	2.953	22.513	4.497	24.237	6.085	25.586	8.124	27.114	11.361	28.928	16.158	29.602	11.631	17.836	15.603	16.937	14.434	20.295	17.177	20.399	20.474	19.845
gl_488	gl	2.757	10.355	1.633	14.446	2.083	16.679	2.922	18.642	3.806	21.205	5.934	24.352	10.04	26.944	11.179	13.607	15.78	14.626	12.603	17.279	15.001	18.597	18.927	19.946
gl_505	gl	3.159	15.141	1.252	18.345	1.52	20.625	2.071	22.786	3.144	25.797	4.635	28.583	9.15	31.4	10.611	18.867	14.381	19.999	11.997	22.458	14.351	23.74	17.704	24.947
gl_506	gl	3.644	6.777	2.153	9.984	2.214	12.273	3.665	14.351	3.539	17.182	5.06	20.194	9.472	23.613	11.972	10.617	15.511	11.701	12.785	14.381	15.044	15.556	19.035	17.228
gl_507	gl	3.179	13.56	1.183	16.281	0.68	18.322	0.946	20.836	1.464	23.778	2.898	27.253	6.551	30.625	9.375	18.07	13.708	20.274	10.011	21.96	12.052	23.557	15.926	25.73
gl_508	gl	2.735	9.146	1.315	12.374	1.494	14.616	2.301	17.007	3.527	19.667	5.395	22.671	10.252	25.63	10.939	12.494	14.87	13.375	12.254	16.08	14.959	17.336	18.292	18.352
gl_509	gl	1.138	16.902	2.024	20.064	3.162	21.882	5.053	23.595	7.062	25.221	9.914	27.053	16.178	27.585	10.992	15.1	14.878	14.021	13.3561	17.922	16.71	17.671	20.64	16.932
