Id,WAL,WAR,MTL,MTR
ge_1,260.998,260.35,81.199,62.756
ge_2,241.8705,251.868,63.919,58.149
ge_3,296.4385,299.014,83.965,75.841
ge_4,291.702,289.7805,65.548,55.6645
ge_5,276.405,292.1995,74.959,57.078
wo_6,281.442,282.547,90.781,78.594
wo_7,239.194,245.0755,72.034,64.904
wo_8,266.008,273.223,76.6715,58.183
wo_9,270.6915,272.3665,88.996,70.653
la_12,263.0005,263.565,97.989,74.486
la_13,281.4695,291.028,105.26,88.37
la_14,253.7945,263.2775,101.6005,96.815
la_15,157.996,158.1255,61.057,56.107
gl_16,318.113,322.774,95.324,83.575
gl_17,283.655,285.459,95.059,80.828
gl_18,273.3935,275.7235,96.641,90.3045
gl_19,327.3365,333.9095,118.913,107.2975
gl_20,319.6615,327.878,119.225,114.414
ml_26,333.5095,333.785,99.986,92.83
ml_27,312.09,313.01,104.632,97.08
ml_29,339.0315,343.4805,114.1655,103.455
ml_30,275.885,274.774,75.981,61.819
dp_31,276.366,279.6105,99.301,93.765
dp_32,288.2405,286.308,119.6945,109.859
dp_33,237.1525,236.8625,92.5265,84.483
dp_34,248.524,248.1275,79.617,76.427
dp_35,242.8685,240.3415,90.463,77.231
ge_36,268.1965,266.5935,60.393,38.989
ge_37,258.8725,260.4385,64.565,67.118
ge_38,242.634,237.331,55.581,54.139
ge_39,252.6715,258.265,73.9125,63.085
ge_40,280.0095,286.06,68.978,71.204
wo_41,276.6775,275.102,82.992,75.278
wo_43,274.379,276.041,90.227,79.884
wo_44,289.617,286.6855,77.283,64.302
la_46,268.663,267.4595,89.372,66.006
la_48,280.448,284.986,108.649,100.689
la_50,256.545,264.6245,80.892,85.079
gl_53,301.661,304.4035,107.318,103.335
gl_54,313.7,318.6345,102.735,70.082
ml_56,289.856,302.3885,91.02,91.115
ml_59,241.0945,244.094,83.5265,84.2915
ml_60,265.6835,261.5295,83.198,81.087
dp_64,268.853,271.3795,81.219,80.435
ge_66,249.236,241.978,55.548,64.159
ge_68,224.604,223.2735,59.481,60.563
ge_69,256.515,252.6855,62.657,62.679
ge_70,175.7785,176.379,46.929,45.903
wo_72,216.326,213.5895,54.946,58.24
