,dp,ge,gl,la,me,ml,or,wo**
dp,0,0.03277254**,0.02203808**,0.02984666**,0.02783105**,0.01864178,0.02434026*,0.02707068
ge,31.053212**,0,0.02577942**,0.04142849**,0.02510681**,0.03619925**,0.03967837**,0.01767691*
gl,3.870955,34.924167**,0,0.03510277**,0.02643889**,0.02106383**,0.02634666**,0.02424091**
la,5.792747,25.260464**,9.663702,0,0.02347015**,0.02660739**,0.04114429**,0.01862638**
me,33.338786**,2.285574,37.209741**,27.546038**,0,0.0272815**,0.03680827**,0.0279928**
ml,10.60728,20.445926**,14.478241*,4.814538,22.7315**,0,0.03073857**,0.03933562**
or,15.003695*,16.049517*,18.87465**,9.210948,18.335091**,4.396409,0,0.03933562**
wo,27.478997**,3.57421,31.349952**,21.68625**,5.859788,16.871712**,12.475302,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,* P < 0.05,Upper triangle is shape,,
,,,,,** P < 0.01,Lower triangle is melanization,,
,,,,,**P <  0.001,,,
