Landmark,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
1,9.88,8.987,9.781,9.036,10.278,8.987,9.98,8.987,10.029,8.987,9.98,9.036,10.079,8.987,10.129,9.036,10.178,8.987,10.278,8.987,9.781,9.036,9.98,9.036,9.831,9.036,9.781,9.036,9.88,9.036,9.88,9.036,9.98,9.036,10.029,9.036,9.781,9.086,9.88,9.036
2,8.093,12.363,7.944,12.363,8.043,12.413,8.143,12.264,8.043,12.264,8.143,12.363,8.093,12.313,8.043,12.264,8.093,12.363,8.093,12.363,8.093,12.363,8.143,12.313,8.093,12.462,8.043,12.363,8.093,12.462,8.093,12.462,8.093,12.462,8.093,12.413,8.093,12.363,8.143,12.413
3,7.894,14.696,7.795,14.746,7.845,14.696,7.944,14.746,7.845,14.696,7.795,14.696,7.845,14.696,7.845,14.746,7.795,14.696,7.845,14.647,7.795,14.746,7.795,14.597,7.845,14.796,7.745,14.696,7.795,14.696,7.795,14.746,7.845,14.796,7.745,14.796,7.795,14.746,7.845,14.746
4,8.242,17.179,8.242,17.08,8.192,16.831,8.292,17.03,8.242,16.931,8.292,17.03,8.242,17.08,8.242,16.931,8.192,17.129,8.242,17.03,8.242,17.179,8.242,16.98,8.242,17.08,8.242,17.129,8.143,17.08,8.242,17.129,8.242,17.129,8.242,17.129,8.242,17.08,8.242,17.129
5,8.689,20.059,8.788,19.959,8.738,19.81,8.738,20.009,8.788,19.661,8.689,19.761,8.738,19.661,8.788,19.81,8.689,19.661,8.639,19.959,8.689,19.711,8.738,19.761,8.738,20.009,8.689,19.81,8.838,19.959,8.788,19.91,8.689,20.009,8.738,19.711,8.738,19.86,8.838,19.81
6,10.029,23.038,9.93,23.087,9.98,23.137,9.88,22.988,9.93,23.087,9.98,23.087,9.93,23.038,9.88,22.988,9.88,23.087,9.93,23.137,9.88,23.087,9.98,22.988,9.93,23.137,9.98,23.137,9.93,23.137,9.93,23.087,9.98,23.038,9.98,23.038,9.98,23.087,9.98,23.137
7,13.803,26.563,13.852,26.513,13.803,26.613,13.753,26.563,13.803,26.563,13.803,26.563,13.902,26.563,13.703,26.513,13.654,26.513,13.902,26.563,13.654,26.513,13.852,26.613,13.753,26.563,13.753,26.513,13.753,26.513,13.703,26.513,13.803,26.563,13.902,26.613,13.902,26.513,13.803,26.513
8,17.973,14.746,17.973,14.746,17.973,14.796,17.973,14.746,17.973,14.796,17.924,14.746,17.924,14.796,17.924,14.796,17.973,14.746,18.023,14.796,17.973,14.746,17.973,14.796,17.973,14.746,17.973,14.746,17.973,14.746,17.924,14.696,17.973,14.746,17.924,14.696,17.924,14.746,17.973,14.746
9,21.697,16.285,21.647,16.335,21.747,16.285,21.796,16.335,21.697,16.285,21.747,16.285,21.548,16.236,21.697,16.285,21.697,16.285,21.598,16.236,21.647,16.285,21.796,16.335,21.796,16.335,21.697,16.285,21.697,16.285,21.747,16.335,21.747,16.285,21.796,16.285,21.747,16.335,21.747,16.285
10,18.42,18.321,18.52,18.371,18.47,18.271,18.47,18.271,18.42,18.271,18.42,18.271,18.47,18.271,18.42,18.271,18.52,18.321,18.47,18.271,18.47,18.271,18.47,18.271,18.42,18.271,18.42,18.271,18.47,18.271,18.47,18.321,18.52,18.271,18.47,18.271,18.47,18.222,18.47,18.321
11,20.555,19.91,20.506,19.91,20.555,19.91,20.555,19.86,20.605,19.91,20.555,19.91,20.555,19.86,20.456,19.86,20.555,19.91,20.456,19.86,20.456,19.91,20.555,19.91,20.506,19.86,20.506,19.91,20.555,19.86,20.555,19.91,20.506,19.91,20.506,19.959,20.506,19.86,20.506,19.91
12,24.13,21.548,24.08,21.598,24.08,21.548,23.981,21.449,24.229,21.548,24.08,21.548,24.08,21.548,24.279,21.697,24.229,21.548,23.931,21.548,24.13,21.548,24.18,21.598,24.18,21.548,24.031,21.499,24.08,21.499,24.08,21.598,24.08,21.598,23.931,21.499,24.08,21.499,24.08,21.548
